field,first_month,last_month,monthly_records,total_oil_mill_sm3,avg_monthly_oil_mill_sm3,total_gas_bill_sm3,total_water_mill_sm3,total_oe_mill_sm3
TROLL,1990-01-01,2026-03-01,435,295.1086,0.6784,903.8435,498.1957,1230.5253
STATFJORD,1979-11-01,2026-03-01,557,579.3323,1.0401,82.7886,625.2848,705.9096
EKOFISK,1971-06-01,2026-03-01,658,507.7091,0.7716,151.5114,278.8981,688.09
OSEBERG,1986-09-01,2026-03-01,475,398.7749,0.8395,95.7958,68.3685,521.6074
ÅSGARD,1999-05-01,2026-03-01,323,107.567,0.333,224.1268,13.9078,427.6611
GULLFAKS,1986-12-01,2026-03-01,472,380.3605,0.8058,23.0774,502.0703,408.6259
ORMEN LANGE,2007-08-01,2026-03-01,224,0.0,0.0,275.5955,0.002,293.3621
SNORRE,1992-08-01,2026-03-01,404,253.6649,0.6279,6.4314,215.5403,269.109
SLEIPNER ØST,1993-08-01,2026-03-01,392,0.4269,0.0011,197.815,1.3488,250.4184
JOHAN SVERDRUP,2019-08-01,2026-03-01,80,219.496,2.7437,7.4643,30.4856,231.989
HEIDRUN,1995-10-01,2026-03-01,366,179.7518,0.4911,32.4379,99.4932,214.7488
ELDFISK,1979-08-01,2026-03-01,560,131.2474,0.2344,43.1246,41.6894,183.4517
GULLFAKS SØR,1998-10-01,2026-03-01,330,62.5469,0.1895,96.3386,19.7674,181.2875
VALHALL,1982-10-01,2026-03-01,522,133.2602,0.2553,25.2068,16.4542,166.4784
DRAUGEN,1993-10-01,2026-03-01,390,147.0184,0.377,2.3622,207.7297,154.7138
KVITEBJØRN,2004-09-01,2026-03-01,259,31.3718,0.1211,101.1163,3.483,144.4345
GRANE,1996-07-01,2026-03-01,274,138.2865,0.5047,0.0,84.8839,138.2865
FRIGG,1977-09-01,2004-10-01,326,0.0,0.0,116.169,0.0649,116.6292
NORNE,1997-11-01,2026-03-01,341,93.4977,0.2742,12.1805,129.3279,108.0076
SNØHVIT,2007-08-01,2026-03-01,224,0.0,0.0,85.0053,0.2275,104.4508
VISUND,1999-04-01,2026-03-01,324,39.6015,0.1222,56.1652,26.5655,101.345
SKARV,2012-01-01,2026-03-01,171,22.3604,0.1308,59.9152,1.9983,93.4217
SLEIPNER VEST,1996-08-01,2026-03-01,356,5.7904,0.0163,34.6987,3.8598,89.9768
ULA,1986-10-01,2026-03-01,474,77.3213,0.1631,3.854,70.4766,86.7534
BALDER,1991-05-01,2026-03-01,323,80.7403,0.25,1.8881,109.2876,82.6283
