year,yearly_oil_mill_sm3,yearly_gas_bill_sm3,yearly_water_mill_sm3,yearly_oe_mill_sm3
1971,0.3571,0.0,0.0,0.3571
1972,1.927,0.0,0.0,1.927
1973,1.8695,0.0,0.0,1.8695
1974,2.0142,0.0,0.0,2.0142
1975,10.9954,0.0,0.0,10.9954
1976,16.2268,0.0,0.0,16.2268
1977,16.6425,2.6549,0.0,19.2998
1978,20.6445,14.2008,0.0,34.8659
1979,22.4779,20.6698,0.0,44.3193
1980,28.2213,25.0884,0.0,55.7977
1981,27.4846,24.9512,0.0,54.6523
1982,28.5284,23.9601,0.0,54.8174
1983,35.6456,23.6126,0.0,61.9792
1984,41.0931,25.9627,0.0,69.7618
1985,44.7579,26.1857,0.0,73.9868
1986,48.7712,26.0898,0.0,78.7673
1987,56.9592,28.1509,0.0,89.2812
1988,64.7231,28.3297,0.0,97.9457
1989,85.9833,28.7378,0.0,119.6717
1990,94.5423,25.4795,0.0,125.0815
1991,108.5101,25.0272,0.0,138.4917
1992,123.9992,25.8338,0.0,154.8459
1993,131.8437,24.8039,0.0,162.6396
1994,146.2824,26.8417,0.065,182.6489
1995,156.7761,27.8139,0.0,195.7094
1996,175.5015,37.3982,0.0026,224.9157
1997,175.914,42.9448,0.0012,232.3081
1998,168.7439,44.1945,0.1834,225.3756
1999,168.6898,48.4708,1.237,229.6653
2000,181.1809,49.7961,114.4195,243.6128
2001,180.8847,54.0367,130.1278,251.5108
2002,173.6493,65.5941,135.8155,258.3646
2003,165.4754,72.9601,154.3504,261.7054
2004,162.7779,79.311,171.0283,264.4063
2005,148.137,85.8429,177.0688,257.7371
2006,136.5778,88.6686,175.1269,249.5667
2007,128.2762,90.3099,182.6726,238.341
2008,122.6387,100.0796,176.7168,243.584
2009,114.9699,104.2463,162.2199,240.6173
2010,104.4157,106.9981,160.6608,231.1349
2011,97.4548,101.2667,157.3929,219.6187
2012,89.1963,114.7232,159.9942,226.293
2013,84.9319,108.7464,158.5224,215.3875
2014,87.7499,108.3038,175.2102,217.7681
2015,90.854,117.0089,184.6305,229.9371
2016,93.9333,116.7669,176.7805,232.9428
2017,92.2786,124.6793,171.8864,239.1011
2018,86.2693,122.2451,173.3941,229.685
2019,81.8611,115.1623,168.7098,216.0943
2020,98.3906,112.3264,169.5632,228.9671
2021,102.3761,115.2017,171.6191,232.9213
2022,97.8095,124.211,160.3128,234.6193
2023,104.1357,117.3223,160.7915,234.5722
2024,102.8957,126.2495,170.5251,242.655
2025,106.8111,121.8403,175.0905,240.5402
2026,27.9833,32.1193,43.1552,63.177
